id,title,date,poster,description,date_added,date_updated,venue_id
13,Autumn Winds (2020),2021-10-24 19:00:00+00,posters/LCB_Fall21_Posters-Letter.jpg,"Featured our 2020 Bloomquist Prize winner, Karl Rueterbusch (after the COVID delay). Also the concert where we premiered ""The Lakes"", by Andrew Boysen",2025-09-09 20:59:59.455433+00,2025-09-10 14:19:43.951466+00,2
8,St Johns Concert (2025),2025-07-02 23:00:00+00,"",Summer concert at the Tennent Band Shell,2025-07-04 18:01:04.762556+00,2025-07-04 18:07:36.485249+00,5
14,Music from Around the World,2020-03-01 20:00:00+00,posters/MusicAroundWorld_PosterLetter.jpg,"This was our family concert (in lieu of a Young Person's Concert), with an instrument ""petting zoo"" following the concert. Unfortunately, there was no printed program.",2025-09-10 14:24:38.040613+00,2025-09-10 14:24:38.046643+00,6
7,City of Lansing Fourth of July (2025),2025-07-05 00:00:00+00,"",Annual Fourth of July concert,2025-07-04 16:31:21.837186+00,2025-07-04 18:12:14.198881+00,4
15,Banding Together (2025),2025-10-19 19:00:00+00,posters/2025-10-19_Poster_Art.jpg,"Fall concert, shared with the Capital City Brass Band",2025-10-23 20:55:55.732938+00,2025-10-23 20:56:18.638537+00,2
9,Festive Sounds (2022),2022-12-04 20:00:00+00,posters/2022-12-04_PosterArt.jpg,"",2025-07-04 18:30:50.877437+00,2025-07-04 18:37:17.149914+00,6
16,Spring Soundscapes,2025-04-27 19:00:00+00,posters/Spring25_Posters.jpg,Featuring the 2025 Bloomquist Award winner,2025-11-13 23:30:03.68238+00,2025-11-13 23:35:49.596355+00,2
10,Water Works,2022-10-23 19:00:00+00,posters/2022-10-23_PosterArt.jpg,"",2025-07-05 15:56:00.660407+00,2025-07-05 15:56:33.105906+00,3
2,Autumn Winds (2024),2024-10-20 19:00:00+00,posters/Fall24_PostersLetter.jpg,"",2025-06-27 20:19:45.695621+00,2025-06-27 20:19:45.747158+00,1
3,Vive la France,2024-04-14 19:00:00+00,posters/2024-04-14_Poster_Art.jpg,"Featuring 2024 Young Artist Winner, Penelope Wernet, flute",2025-06-27 20:48:21.274963+00,2025-06-27 20:49:35.733485+00,2
4,Some Things Borrowed,2023-10-22 19:00:00+00,posters/2023-10-22_PosterArt.jpg,"",2025-06-28 20:22:35.253835+00,2025-06-28 20:26:58.050415+00,3
5,Festival Sounds (2023),2023-12-03 20:00:00+00,posters/2023-12-03_PosterArt.jpg,"This was a ""Conductor's Choice"" concert between Dr. McIlhagga's departure and hiring Dr. Sudduth",2025-06-28 23:12:40.441833+00,2025-06-28 23:12:40.456852+00,1
11,LCB at the Movies,2022-04-24 19:00:00+00,posters/2022-04-24_PosterArt.jpg,"Final concert of our 75th season, featuring the 2022 Young Person Artist, Zora Alfredson (Horn), and guest conductor Henry Nelson",2025-07-06 14:54:51.713232+00,2025-07-06 14:55:56.110208+00,2
6,Joy & Laughter,2023-04-23 19:00:00+00,posters/Spring23_Poster_Letter.jpg,"",2025-06-29 02:06:00.55745+00,2025-06-29 02:13:31.537076+00,2
12,Festive Sounds (2021),2021-12-05 20:00:00+00,posters/LCB_FestiveSounds21_Posters-Letter.jpg,Our annual holiday concert,2025-07-10 01:20:59.574945+00,2025-07-10 01:20:59.638739+00,6
1,Festive Sounds (2024),2024-12-08 20:00:00+00,posters/Holiday24_Posters_web.jpg,"Annual holiday concert, special guests LCB Big Band",2025-06-27 02:58:14.170541+00,2025-08-25 22:45:06.542289+00,1
