id,music_id,arranger_id
1,5,1
2,6,2
3,9,3
4,14,4
5,15,5
6,16,6
7,18,7
8,21,8
9,22,9
10,22,10
11,23,11
12,25,12
13,26,13
14,27,14
15,28,15
16,29,17
17,31,16
18,34,18
19,34,19
20,35,20
21,37,21
22,38,22
23,39,23
24,41,24
25,42,9
26,1007,42
27,1037,247
28,716,196
29,716,45
30,95,35
31,890,149
32,762,92
33,1038,248
34,837,76
35,729,196
36,729,45
38,969,158
39,264,134
40,1028,249
41,1013,163
42,789,9
43,790,9
44,915,117
45,1043,250
46,1048,251
47,56,90
48,1050,252
49,754,253
50,363,167
51,1051,122
52,859,254
53,951,230
54,1052,250
55,1054,255
56,1056,140
57,239,90
58,1057,122
59,72,171
60,1061,256
61,262,9
62,262,90
63,1062,257
