id,music_id,composer_id
1,1,1
2,2,2
3,3,3
4,4,4
5,6,5
6,6,6
7,7,4
8,8,7
9,9,8
10,10,9
11,11,10
12,12,11
13,13,12
14,14,13
15,15,14
16,16,15
17,17,16
18,18,17
19,19,18
20,20,19
21,21,20
22,22,21
23,23,22
24,24,23
25,25,13
26,26,24
27,27,25
28,28,20
29,30,26
30,31,27
31,32,28
32,33,7
33,34,23
34,35,29
35,36,30
36,37,31
37,38,32
38,39,33
39,40,34
40,40,35
41,42,36
42,43,26
43,1007,469
44,57,513
45,1037,1961
46,716,403
47,95,516
48,95,174
49,388,198
51,762,420
52,386,23
53,785,1
54,837,453
55,1039,284
56,729,403
57,780,428
59,264,135
60,1028,6
61,1013,37
62,789,433
63,790,433
64,1042,93
65,1043,403
66,1041,1962
67,1044,54
68,1045,1963
69,1046,1964
70,1047,16
71,1048,170
72,1030,3
73,806,440
74,1049,1965
75,56,512
76,1050,416
77,754,416
78,363,176
79,1051,469
80,588,329
81,859,469
82,125,40
83,1052,1967
84,1053,1968
85,1055,1969
86,239,121
87,1057,1970
88,1058,1971
89,1059,1972
90,1060,1
91,72,517
92,1014,492
93,1061,517
94,262,32
95,1062,1973
96,691,399
97,1063,1975
98,1064,1976
99,65,4
100,787,1
101,1065,1977
102,317,31
103,1066,1978
